,Team,Active Players,Forwards,Midfielders,Defenders,Goalkeepers,Transfer Fee,Est. Total Salary,Avg Salary per player,Year,Finishing Position,Played,Won,Drawn,Lost,Goals Scored,Goals Conceded,Goal Difference,Points,PoundsSpentPerPoint
31,Liverpool,25,36134000.0,50300000.0,24216000.0,7480000.0,96470000.0,118130000.0,4725200.0,2020,1,38,32,3,3,85,33,52,99,1193232.32
34,Manchester City,25,34647000.0,55284000.0,39526000.0,5720000.0,149930000.0,135177000.0,5407080.0,2020,2,38,26,3,9,102,35,67,81,1668851.85
40,Manchester United,30,44720000.0,56420000.0,52415000.0,29900000.0,68750000.0,183455000.0,6115167.0,2020,3,38,18,12,8,66,36,30,66,2779621.21
15,Chelsea,28,32600000.0,42950000.0,49630000.0,13520000.0,250420000.0,138700000.0,4953571.0,2020,4,38,20,6,12,69,54,15,66,2101515.15
27,Leicester City,27,21800000.0,27668000.0,20981000.0,8996000.0,61600000.0,79445000.0,2942407.0,2020,5,38,18,8,12,67,41,26,62,1281370.97
54,Tottenham Hotspur,29,62600000.0,35055200.0,25020000.0,9140000.0,118250000.0,131815200.0,4545352.0,2020,6,38,16,11,11,61,47,14,59,2234155.93
64,Wolverhampton Wanderers,24,17532000.0,12480000.0,19229000.0,5500000.0,89980000.0,54741000.0,2280875.0,2020,7,38,15,14,9,51,40,11,59,927813.56
3,Arsenal,31,43127273.0,45080000.0,39454000.0,5720000.0,94600000.0,133381273.0,4302622.0,2020,8,38,14,14,10,56,48,8,56,2381808.45
44,Sheffield United,28,6351600.0,3998400.0,6617800.0,2741000.0,51150000.0,19708800.0,703886.0,2020,9,38,14,12,12,39,39,0,54,364977.78
8,Burnley,23,8580000.0,10868000.0,13406000.0,2620000.0,1210000.0,35474000.0,1542348.0,2020,10,38,15,9,14,43,50,-7,54,656925.93
45,Southampton,24,15810000.0,12080000.0,14836000.0,7340000.0,44330000.0,50066000.0,2086083.0,2020,11,38,15,7,16,51,60,-9,52,962807.69
23,Everton,34,24580000.0,29131000.0,28660000.0,8176000.0,110770000.0,90547000.0,2663147.0,2020,12,38,13,10,15,44,56,-12,49,1847897.96
43,Newcastle United,28,19913600.0,11917000.0,20979600.0,3876000.0,63150000.0,56686200.0,2024507.0,2020,13,38,11,11,16,38,58,-20,44,1288322.73
19,Crystal Palace,31,28590000.0,28392000.0,27480000.0,8088000.0,20790000.0,92550000.0,2985484.0,2020,14,38,11,10,17,31,50,-19,43,2152325.58
59,West Ham United,24,23900000.0,13656000.0,19764000.0,6280000.0,24420000.0,63600000.0,2650000.0,2020,16,38,10,9,19,49,62,-13,39,1630769.23
4,Aston Villa,27,8060000.0,24179396.0,18096000.0,3417000.0,70350000.0,53752396.0,1990829.0,2020,17,38,9,8,21,41,67,-26,35,1535782.74
55,Watford,22,12636000.0,14456000.0,12272000.0,3380000.0,,42744000.0,1942909.0,2019,11,38,14,8,16,52,59,-7,50,854880.0
5,Bournemouth,6,5460000.0,2600000.0,4420000.0,0.0,,12480000.0,2080000.0,2019,14,38,13,6,19,56,70,-14,45,277333.33
24,Huddersfield Town,25,9219600.0,10452000.0,10712000.0,650000.0,38870000.0,31033600.0,1241344.0,2018,16,38,9,10,19,28,58,-30,37,838745.95
58,West Bromwich Albion,27,16432000.0,24752000.0,12064000.0,4576000.0,33780000.0,57824000.0,2141630.0,2017,10,38,12,9,17,43,51,-8,45,1284977.78
49,Stoke City,29,13468000.0,17940000.0,16952000.0,3900000.0,45320000.0,52260000.0,1802069.0,2017,13,38,11,11,16,41,56,-15,44,1187727.27
50,Swansea City,22,7280000.0,19604000.0,10816000.0,4940000.0,41610000.0,42640000.0,1938182.0,2017,15,38,12,5,21,45,70,-25,41,1040000.0
