Team,Active Players,Forwards,Midfielders,Defenders,Goalkeepers,Transfer Fee,Est. Total Salary,Avg Salary per player,Year,Finishing Position,Played,Won,Drawn,Lost,Goals Scored,Goals Conceded,Goal Difference,Points,PoundsSpentPerPoint
Arsenal,29,30527273.0,39312000.0,37284000.0,8320000.0,104320000.0,120643273.0,4160113.0,2017,5,38,23,6,9,77,44,33,75,1608576.97
Aston Villa,27,8060000.0,24179396.0,18096000.0,3417000.0,70350000.0,53752396.0,1990829.0,2020,17,38,9,8,21,41,67,-26,35,1535782.74
Bournemouth,16,9280000.0,9256000.0,9620000.0,7280000.0,29160000.0,35436000.0,2214750.0,2017,9,38,12,10,16,55,67,-12,46,770347.83
Burnley,27,8684000.0,14716000.0,8528000.0,4316000.0,34620000.0,36556000.0,1353926.0,2017,16,38,11,7,20,39,55,-16,40,913900.0
Chelsea,30,14960000.0,53874000.0,40170000.0,8788000.0,238590000.0,117792000.0,3926400.0,2017,1,38,30,3,5,85,33,52,93,1266580.65
Crystal Palace,29,19240000.0,16432000.0,26702000.0,3380000.0,42030000.0,65772200.0,2268007.0,2017,14,38,12,5,21,50,63,-13,41,1604200.0
Everton,30,22620000.0,21840000.0,27612000.0,5720000.0,148590000.0,79092000.0,2636400.0,2017,7,38,17,10,11,62,44,18,61,1296590.16
Huddersfield Town,25,9219600.0,10452000.0,10712000.0,650000.0,38870000.0,31033600.0,1241344.0,2018,16,38,9,10,19,28,58,-30,37,838745.95
Leicester City,26,18980000.0,14352000.0,20332000.0,5980000.0,69550000.0,59644000.0,2294000.0,2017,12,38,12,8,18,48,63,-15,44,1355545.45
Liverpool,29,21944000.0,28652000.0,28444000.0,7004000.0,150820000.0,86044000.0,2967034.0,2017,4,38,22,10,6,78,42,36,76,1132157.89
Manchester City,25,34840000.0,47580000.0,36530000.0,7540000.0,261750000.0,126490000.0,5059600.0,2017,3,38,23,9,6,80,39,41,78,1621666.67
Manchester United,26,29120000.0,51220000.0,40560000.0,14820000.0,142750000.0,147160000.0,5660000.0,2017,6,38,18,15,5,54,29,25,69,2132753.62
Newcastle United,24,13208000.0,12844000.0,15392000.0,4732000.0,23230000.0,46176000.0,1924000.0,2018,10,38,12,8,18,39,47,-8,44,1049454.55
Sheffield United,28,6351600.0,3998400.0,6617800.0,2741000.0,51150000.0,19708800.0,703886.0,2020,9,38,14,12,12,39,39,0,54,364977.78
Southampton,28,18096000.0,22152000.0,16442400.0,5720000.0,55250000.0,64490400.0,2303229.0,2017,8,38,12,10,16,41,48,-7,46,1401965.22
Stoke City,29,13468000.0,17940000.0,16952000.0,3900000.0,45320000.0,52260000.0,1802069.0,2017,13,38,11,11,16,41,56,-15,44,1187727.27
Swansea City,22,7280000.0,19604000.0,10816000.0,4940000.0,41610000.0,42640000.0,1938182.0,2017,15,38,12,5,21,45,70,-25,41,1040000.0
Tottenham Hotspur,25,15470000.0,27300000.0,27898000.0,8320000.0,106440000.0,78988000.0,3159520.0,2017,2,38,26,8,4,86,26,60,86,918465.12
Watford,32,13104000.0,12064000.0,15864000.0,3120000.0,56820000.0,44594000.0,1393562.0,2017,17,38,11,7,20,40,68,-28,40,1114850.0
West Bromwich Albion,27,16432000.0,24752000.0,12064000.0,4576000.0,33780000.0,57824000.0,2141630.0,2017,10,38,12,9,17,43,51,-8,45,1284977.78
West Ham United,29,11960000.0,23868000.0,24180000.0,8632000.0,51010000.0,75400000.0,2600000.0,2017,11,38,12,9,17,47,64,-17,45,1675555.56
Wolverhampton Wanderers,26,14516000.0,17082000.0,13247000.0,5200000.0,132140000.0,50045000.0,1924808.0,2019,7,38,16,9,13,47,46,1,57,877982.46
