Team,Year,Active Players,Forwards,Midfielders,Defenders,Goalkeepers,Transfer Fee,Est. Total Salary,Avg Salary per player,Finishing Position,Played,Won,Drawn,Lost,Goals Scored,Goals Conceded,Goal Difference,Points,PoundsSpentPerPoint
Arsenal,2019,25,31827273.0,34940000.0,38399000.0,6240000.0,173740000.0,111406273.0,4456251.0,5,38,21,7,10,73,51,22,70,1591518.19
Arsenal,2017,29,30527273.0,39312000.0,37284000.0,8320000.0,104320000.0,120643273.0,4160113.0,5,38,23,6,9,77,44,33,75,1608576.97
Arsenal,2018,28,28967273.0,50180000.0,37544000.0,11960000.0,69900000.0,128651273.0,4594688.0,6,38,19,6,13,74,51,23,63,2042083.7
Arsenal,2020,31,43127273.0,45080000.0,39454000.0,5720000.0,94600000.0,133381273.0,4302622.0,8,38,14,14,10,56,48,8,56,2381808.45
Aston Villa,2020,27,8060000.0,24179396.0,18096000.0,3417000.0,70350000.0,53752396.0,1990829.0,17,38,9,8,21,41,67,-26,35,1535782.74
Bournemouth,2019,6,5460000.0,2600000.0,4420000.0,0.0,,12480000.0,2080000.0,14,38,13,6,19,56,70,-14,45,277333.33
Bournemouth,2018,7,3640000.0,2600000.0,8060000.0,3640000.0,25125000.0,17940000.0,2562857.0,12,38,11,11,16,45,61,-16,44,407727.27
Bournemouth,2017,16,9280000.0,9256000.0,9620000.0,7280000.0,29160000.0,35436000.0,2214750.0,9,38,12,10,16,55,67,-12,46,770347.83
Burnley,2020,23,8580000.0,10868000.0,13406000.0,2620000.0,1210000.0,35474000.0,1542348.0,10,38,15,9,14,43,50,-7,54,656925.93
Burnley,2017,27,8684000.0,14716000.0,8528000.0,4316000.0,34620000.0,36556000.0,1353926.0,16,38,11,7,20,39,55,-16,40,913900.0
Burnley,2018,24,9620000.0,11128000.0,14096000.0,7036000.0,29700000.0,41880000.0,1745000.0,7,38,14,12,12,36,39,-3,54,775555.56
Burnley,2019,25,10140000.0,18408000.0,15136000.0,4920000.0,14773000.0,48604000.0,1944160.0,15,38,11,7,20,45,68,-23,40,1215100.0
Chelsea,2017,30,14960000.0,53874000.0,40170000.0,8788000.0,238590000.0,117792000.0,3926400.0,1,38,30,3,5,85,33,52,93,1266580.65
Chelsea,2019,29,30750000.0,49490000.0,31430000.0,9620000.0,51300000.0,121290000.0,4182414.0,3,38,21,9,8,63,39,24,72,1684583.33
Chelsea,2018,28,10365000.0,61542000.0,44980000.0,11596000.0,195360000.0,132903000.0,4746536.0,5,38,21,7,10,62,38,24,70,1898614.29
Chelsea,2020,28,32600000.0,42950000.0,49630000.0,13520000.0,250420000.0,138700000.0,4953571.0,4,38,20,6,12,69,54,15,66,2101515.15
Crystal Palace,2017,29,19240000.0,16432000.0,26702000.0,3380000.0,42030000.0,65772200.0,2268007.0,14,38,12,5,21,50,63,-13,41,1604200.0
