,Team,Active Players,Forwards,Midfielders,Defenders,Goalkeepers,Transfer Fee,Est. Total Salary,Avg Salary per player,Year,Finishing Position,Played,Won,Drawn,Lost,Goals Scored,Goals Conceded,Goal Difference,Points,PoundsSpentPerPoint
13,Swansea City,22,"7,280,000.00","19,604,000.00","10,816,000.00","4,940,000.00","41,610,000.00","42,640,000.00","1,938,182.00",2017,15,38,12,5,21,45,70,-25,41,"1,040,000.00"
6,Watford,32,"13,104,000.00","12,064,000.00","15,864,000.00","3,120,000.00","56,820,000.00","44,594,000.00","1,393,562.00",2017,17,38,11,7,20,40,68,-28,40,"1,114,850.00"
16,Liverpool,29,"21,944,000.00","28,652,000.00","28,444,000.00","7,004,000.00","150,820,000.00","86,044,000.00","2,967,034.00",2017,4,38,22,10,6,78,42,36,76,"1,132,157.89"
12,Stoke City,29,"13,468,000.00","17,940,000.00","16,952,000.00","3,900,000.00","45,320,000.00","52,260,000.00","1,802,069.00",2017,13,38,11,11,16,41,56,-15,44,"1,187,727.27"
1,Chelsea,30,"14,960,000.00","53,874,000.00","40,170,000.00","8,788,000.00","238,590,000.00","117,792,000.00","3,926,400.00",2017,1,38,30,3,5,85,33,52,93,"1,266,580.65"
15,West Bromwich Albion,27,"16,432,000.00","24,752,000.00","12,064,000.00","4,576,000.00","33,780,000.00","57,824,000.00","2,141,630.00",2017,10,38,12,9,17,43,51,-8,45,"1,284,977.78"
5,Everton,30,"22,620,000.00","21,840,000.00","27,612,000.00","5,720,000.00","148,590,000.00","79,092,000.00","2,636,400.00",2017,7,38,17,10,11,62,44,18,61,"1,296,590.16"
8,Leicester City,26,"18,980,000.00","14,352,000.00","20,332,000.00","5,980,000.00","69,550,000.00","59,644,000.00","2,294,000.00",2017,12,38,12,8,18,48,63,-15,44,"1,355,545.45"
11,Southampton,28,"18,096,000.00","22,152,000.00","16,442,400.00","5,720,000.00","55,250,000.00","64,490,400.00","2,303,229.00",2017,8,38,12,10,16,41,48,-7,46,"1,401,965.22"
4,Crystal Palace,29,"19,240,000.00","16,432,000.00","26,702,000.00","3,380,000.00","42,030,000.00","65,772,200.00","2,268,007.00",2017,14,38,12,5,21,50,63,-13,41,"1,604,200.00"
2,Arsenal,29,"30,527,273.00","39,312,000.00","37,284,000.00","8,320,000.00","104,320,000.00","120,643,273.00","4,160,113.00",2017,5,38,23,6,9,77,44,33,75,"1,608,576.97"
9,Manchester City,25,"34,840,000.00","47,580,000.00","36,530,000.00","7,540,000.00","261,750,000.00","126,490,000.00","5,059,600.00",2017,3,38,23,9,6,80,39,41,78,"1,621,666.67"
7,West Ham United,29,"11,960,000.00","23,868,000.00","24,180,000.00","8,632,000.00","51,010,000.00","75,400,000.00","2,600,000.00",2017,11,38,12,9,17,47,64,-17,45,"1,675,555.56"
10,Manchester United,26,"29,120,000.00","51,220,000.00","40,560,000.00","14,820,000.00","142,750,000.00","147,160,000.00","5,660,000.00",2017,6,38,18,15,5,54,29,25,69,"2,132,753.62"
3,Bournemouth,16,"9,280,000.00","9,256,000.00","9,620,000.00","7,280,000.00","29,160,000.00","35,436,000.00","2,214,750.00",2017,9,38,12,10,16,55,67,-12,46,"770,347.83"
0,Burnley,27,"8,684,000.00","14,716,000.00","8,528,000.00","4,316,000.00","34,620,000.00","36,556,000.00","1,353,926.00",2017,16,38,11,7,20,39,55,-16,40,"913,900.00"
14,Tottenham Hotspur,25,"15,470,000.00","27,300,000.00","27,898,000.00","8,320,000.00","106,440,000.00","78,988,000.00","3,159,520.00",2017,2,38,26,8,4,86,26,60,86,"918,465.12"
18,Newcastle United,24,"13,208,000.00","12,844,000.00","15,392,000.00","4,732,000.00","23,230,000.00","46,176,000.00","1,924,000.00",2018,10,38,12,8,18,39,47,-8,44,"1,049,454.55"
