Team,Active Players,Forwards,Midfielders,Defenders,Goalkeepers,Transfer Fee,Est. Total Salary,Avg Salary per player,Year,Finishing Position,Played,Won,Drawn,Lost,Goals Scored,Goals Conceded,Goal Difference,Points,PoundsSpentPerPoint
Arsenal,25,31827273.00,34940000.00,38399000.00,6240000.00,173740000.00,111406273.00,4456251.00,2019,5,38,21,7,10,73,51,22,70,1591518.19
Arsenal,29,30527273.00,39312000.00,37284000.00,8320000.00,104320000.00,120643273.00,4160113.00,2017,5,38,23,6,9,77,44,33,75,1608576.97
Arsenal,28,28967273.00,50180000.00,37544000.00,11960000.00,69900000.00,128651273.00,4594688.00,2018,6,38,19,6,13,74,51,23,63,2042083.70
Arsenal,31,43127273.00,45080000.00,39454000.00,5720000.00,94600000.00,133381273.00,4302622.00,2020,8,38,14,14,10,56,48,8,56,2381808.45
Aston Villa,27,8060000.00,24179396.00,18096000.00,3417000.00,70350000.00,53752396.00,1990829.00,2020,17,38,9,8,21,41,67,-26,35,1535782.74
Bournemouth,6,5460000.00,2600000.00,4420000.00,0.00,,12480000.00,2080000.00,2019,14,38,13,6,19,56,70,-14,45,277333.33
Bournemouth,7,3640000.00,2600000.00,8060000.00,3640000.00,25125000.00,17940000.00,2562857.00,2018,12,38,11,11,16,45,61,-16,44,407727.27
Bournemouth,16,9280000.00,9256000.00,9620000.00,7280000.00,29160000.00,35436000.00,2214750.00,2017,9,38,12,10,16,55,67,-12,46,770347.83
Burnley,23,8580000.00,10868000.00,13406000.00,2620000.00,1210000.00,35474000.00,1542348.00,2020,10,38,15,9,14,43,50,-7,54,656925.93
Burnley,27,8684000.00,14716000.00,8528000.00,4316000.00,34620000.00,36556000.00,1353926.00,2017,16,38,11,7,20,39,55,-16,40,913900.00
Burnley,24,9620000.00,11128000.00,14096000.00,7036000.00,29700000.00,41880000.00,1745000.00,2018,7,38,14,12,12,36,39,-3,54,775555.56
Burnley,25,10140000.00,18408000.00,15136000.00,4920000.00,14773000.00,48604000.00,1944160.00,2019,15,38,11,7,20,45,68,-23,40,1215100.00
Chelsea,30,14960000.00,53874000.00,40170000.00,8788000.00,238590000.00,117792000.00,3926400.00,2017,1,38,30,3,5,85,33,52,93,1266580.65
Chelsea,29,30750000.00,49490000.00,31430000.00,9620000.00,51300000.00,121290000.00,4182414.00,2019,3,38,21,9,8,63,39,24,72,1684583.33
Chelsea,28,10365000.00,61542000.00,44980000.00,11596000.00,195360000.00,132903000.00,4746536.00,2018,5,38,21,7,10,62,38,24,70,1898614.29
Chelsea,28,32600000.00,42950000.00,49630000.00,13520000.00,250420000.00,138700000.00,4953571.00,2020,4,38,20,6,12,69,54,15,66,2101515.15
Crystal Palace,29,19240000.00,16432000.00,26702000.00,3380000.00,42030000.00,65772200.00,2268007.00,2017,14,38,12,5,21,50,63,-13,41,1604200.00
Crystal Palace,25,20020000.00,18356000.00,25012000.00,6500000.00,9500000.00,69888000.00,2795520.00,2018,11,38,11,11,16,45,55,-10,44,1588363.64
Crystal Palace,25,25870000.00,18200000.00,26052000.00,5200000.00,6950000.00,75322000.00,3012880.00,2019,12,38,14,7,17,51,53,-2,49,1537183.67
Crystal Palace,31,28590000.00,28392000.00,27480000.00,8088000.00,20790000.00,92550000.00,2985484.00,2020,14,38,11,10,17,31,50,-19,43,2152325.58
Everton,30,22620000.00,21840000.00,27612000.00,5720000.00,148590000.00,79092000.00,2636400.00,2017,7,38,17,10,11,62,44,18,61,1296590.16
Everton,25,22265000.00,31731000.00,24180000.00,5200000.00,133840000.00,83376000.00,3335040.00,2019,8,38,15,9,14,54,46,8,54,1544000.00
Everton,28,18096000.00,31176000.00,28080000.00,6760000.00,88870000.00,84112000.00,3004000.00,2018,8,38,13,10,15,44,58,-14,49,1716571.43
Everton,34,24580000.00,29131000.00,28660000.00,8176000.00,110770000.00,90547000.00,2663147.00,2020,12,38,13,10,15,44,56,-12,49,1847897.96
Huddersfield Town,25,9219600.00,10452000.00,10712000.00,650000.00,38870000.00,31033600.00,1241344.00,2018,16,38,9,10,19,28,58,-30,37,838745.95
Leicester City,26,18980000.00,14352000.00,20332000.00,5980000.00,69550000.00,59644000.00,2294000.00,2017,12,38,12,8,18,48,63,-15,44,1355545.45
Leicester City,28,15600000.00,30164000.00,20709000.00,8996000.00,113320000.00,75469000.00,2695321.00,2019,9,38,15,7,16,51,48,3,52,1451326.92
Leicester City,27,21800000.00,27668000.00,20981000.00,8996000.00,61600000.00,79445000.00,2942407.00,2020,5,38,18,8,12,67,41,26,62,1281370.97
Leicester City,28,15860000.00,26312000.00,28340000.00,8996000.00,91500000.00,79508000.00,2839571.00,2018,9,38,12,11,15,56,60,-4,47,1691659.57
Liverpool,29,21944000.00,28652000.00,28444000.00,7004000.00,150820000.00,86044000.00,2967034.00,2017,4,38,22,10,6,78,42,36,76,1132157.89
Liverpool,25,31954000.00,46020000.00,29536000.00,7580000.00,9350000.00,115090000.00,4603600.00,2019,2,38,30,7,1,89,22,67,97,1186494.85
Liverpool,25,36134000.00,50300000.00,24216000.00,7480000.00,96470000.00,118130000.00,4725200.00,2020,1,38,32,3,3,85,33,52,99,1193232.32
Liverpool,26,38480000.00,46020000.00,29900000.00,7800000.00,176587250.00,122200000.00,4700000.00,2018,4,38,21,12,5,84,38,46,75,1629333.33
Manchester City,25,34840000.00,47580000.00,36530000.00,7540000.00,261750000.00,126490000.00,5059600.00,2017,3,38,23,9,6,80,39,41,78,1621666.67
Manchester City,25,34647000.00,55284000.00,39526000.00,5720000.00,149930000.00,135177000.00,5407080.00,2020,2,38,26,3,9,102,35,67,81,1668851.85
Manchester City,26,44200000.00,50440000.00,43026000.00,7540000.00,62350000.00,145206000.00,5584846.00,2018,1,38,32,4,2,106,27,79,100,1452060.00
Manchester City,25,29907000.00,76084000.00,32990000.00,7540000.00,167580000.00,146521000.00,5860840.00,2019,1,38,32,2,4,95,23,72,98,1495112.24
Manchester United,26,29120000.00,51220000.00,40560000.00,14820000.00,142750000.00,147160000.00,5660000.00,2017,6,38,18,15,5,54,29,25,69,2132753.62
Manchester United,26,39520000.00,56680000.00,37180000.00,15600000.00,71000000.00,148980000.00,5730000.00,2018,2,38,25,6,7,68,28,40,81,1839259.26
Manchester United,28,37740000.00,48620000.00,46535000.00,24700000.00,179060000.00,157595000.00,5628393.00,2019,6,38,19,9,10,65,54,11,66,2387803.03
Manchester United,30,44720000.00,56420000.00,52415000.00,29900000.00,68750000.00,183455000.00,6115167.00,2020,3,38,18,12,8,66,36,30,66,2779621.21
Newcastle United,24,13208000.00,12844000.00,15392000.00,4732000.00,23230000.00,46176000.00,1924000.00,2018,10,38,12,8,18,39,47,-8,44,1049454.55
Newcastle United,25,14848000.00,11441000.00,18496000.00,4576000.00,83680000.00,49361000.00,1974440.00,2019,13,38,12,9,17,42,48,-6,45,1096911.11
Newcastle United,28,19913600.00,11917000.00,20979600.00,3876000.00,63150000.00,56686200.00,2024507.00,2020,13,38,11,11,16,38,58,-20,44,1288322.73
Sheffield United,28,6351600.00,3998400.00,6617800.00,2741000.00,51150000.00,19708800.00,703886.00,2020,9,38,14,12,12,39,39,0,54,364977.78
Southampton,24,15810000.00,12080000.00,14836000.00,7340000.00,44330000.00,50066000.00,2086083.00,2020,11,38,15,7,16,51,60,-9,52,962807.69
Southampton,22,12040000.00,18356000.00,16380000.00,4680000.00,62250000.00,51456000.00,2338909.00,2019,16,38,9,12,17,45,65,-20,39,1319384.62
Southampton,28,18096000.00,22152000.00,16442400.00,5720000.00,55250000.00,64490400.00,2303229.00,2017,8,38,12,10,16,41,48,-7,46,1401965.22
Southampton,24,23140000.00,17420000.00,21216000.00,8320000.00,55300000.00,70096000.00,2920667.00,2018,17,38,7,15,16,37,56,-19,36,1947111.11
Stoke City,29,13468000.00,17940000.00,16952000.00,3900000.00,45320000.00,52260000.00,1802069.00,2017,13,38,11,11,16,41,56,-15,44,1187727.27
Swansea City,22,7280000.00,19604000.00,10816000.00,4940000.00,41610000.00,42640000.00,1938182.00,2017,15,38,12,5,21,45,70,-25,41,1040000.00
Tottenham Hotspur,25,15470000.00,27300000.00,27898000.00,8320000.00,106440000.00,78988000.00,3159520.00,2017,2,38,26,8,4,86,26,60,86,918465.12
Tottenham Hotspur,23,23348000.00,30680000.00,23998000.00,8320000.00,,86346000.00,3754174.00,2018,3,38,23,8,7,74,36,38,77,1121376.62
